iter	Passed	Remaining
0	0	143
1	1	81
2	1	60
3	1	47
4	1	39
5	1	34
6	1	30
7	1	28
8	1	27
9	1	25
10	1	24
11	1	22
12	2	21
13	2	20
14	2	20
15	2	19
16	2	19
17	2	19
18	2	18
19	2	18
20	2	17
21	3	17
22	3	17
23	3	17
24	3	17
25	3	17
26	3	16
27	3	16
28	3	16
29	4	16
30	4	15
31	4	15
32	4	15
33	4	15
34	4	15
35	4	15
36	4	14
37	5	14
38	5	14
39	5	14
40	5	14
41	5	14
42	5	14
43	5	14
44	6	14
45	6	14
46	6	13
47	6	13
48	6	13
49	6	13
50	6	13
51	7	14
52	7	14
53	8	14
54	8	14
55	9	15
56	9	14
57	9	14
58	9	14
59	9	14
60	9	14
61	9	14
62	10	13
63	10	13
64	10	13
65	10	13
66	10	13
67	10	12
68	10	12
69	11	12
70	11	12
71	11	12
72	11	12
73	11	11
74	11	11
75	11	11
76	12	11
77	12	11
78	12	11
79	12	10
80	12	10
81	12	10
82	12	10
83	13	10
84	13	10
85	13	9
86	13	9
87	13	9
88	13	9
89	13	9
90	14	9
91	14	8
92	14	8
93	14	8
94	14	8
95	14	8
96	14	8
97	15	7
98	15	7
99	15	7
100	15	7
101	15	7
102	15	7
103	15	7
104	16	6
105	16	6
106	16	6
107	16	6
108	16	6
109	16	6
110	16	5
111	17	5
112	17	5
113	17	5
114	17	5
115	17	5
116	17	4
117	17	4
118	17	4
119	18	4
120	18	4
121	18	4
122	18	4
123	18	3
124	18	3
125	18	3
126	19	3
127	19	3
128	19	3
129	19	3
130	19	2
131	19	2
132	19	2
133	20	2
134	20	2
135	20	2
136	20	1
137	20	1
138	20	1
139	20	1
140	21	1
141	21	1
142	21	1
143	21	0
144	21	0
145	21	0
146	21	0
147	22	0
148	22	0
149	22	0
